sample_id,location_code,region,latitude,longitude,collection_date,ph_level,organic_matter_pct,nitrogen_g_kg,phosphorus_mg_kg,potassium_mg_kg,bulk_density_g_cm3
SMP-101,AG-North-1,North Plains,45.2312,-93.5821,2026-05-12,5.2,2.4,1.1,18.5,120.0,1.35
SMP-102,AG-North-2,North Plains,45.2450,-93.5102,2026-05-14,6.8,4.1,2.3,45.0,210.5,1.15
SMP-103,AG-South-1,River Valley,36.1245,-89.2140,2026-05-18,4.9,1.5,0.7,12.0,85.0,1.48
SMP-104,AG-East-1,Highlands,40.8123,-78.9321,2026-06-01,7.5,5.2,3.1,60.0,310.0,1.05
SMP-105,AG-South-2,River Valley,36.1589,-89.0211,2026-06-03,6.2,3.0,1.8,28.0,165.0,1.25
SMP-106,AG-North-3,North Plains,45.3102,-93.4210,2026-06-05,5.8,2.8,1.4,22.0,140.0,1.30
SMP-107,AG-West-1,Western Plateau,38.5412,-105.2145,2026-06-08,7.8,1.2,0.6,15.0,95.0,1.52
SMP-108,AG-West-2,Western Plateau,38.5982,-105.1820,2026-06-10,7.2,1.8,0.9,19.0,110.0,1.42
SMP-109,AG-Coast-1,Coastal Basin,34.0522,-118.2437,2026-06-12,6.5,4.5,2.7,50.0,240.0,1.12
SMP-110,AG-Coast-2,Coastal Basin,34.1012,-118.1923,2026-06-14,6.1,3.8,2.1,41.0,195.0,1.22
SMP-111,AG-North-4,North Plains,45.1982,-93.6541,2026-06-15,5.4,2.2,1.0,16.5,115.0,1.38
SMP-112,AG-South-3,River Valley,36.0891,-89.3120,2026-06-18,4.7,1.4,0.5,10.0,75.0,1.50
SMP-113,AG-East-2,Highlands,40.7512,-78.8541,2026-06-20,6.9,4.8,2.8,55.0,290.0,1.08
SMP-114,AG-Coast-3,Coastal Basin,34.1522,-118.1523,2026-06-22,6.6,4.0,2.4,46.0,220.0,1.18
SMP-115,AG-West-3,Western Plateau,38.6210,-105.1200,2026-06-25,7.6,1.5,0.8,17.0,105.0,1.45
SMP-116,AG-North-5,North Plains,45.3521,-93.3890,2026-06-28,6.0,3.2,1.6,25.0,155.0,1.28
SMP-117,AG-South-4,River Valley,36.2104,-88.9542,2026-06-30,5.1,1.9,0.9,14.0,90.0,1.39
SMP-118,AG-East-3,Highlands,40.8923,-79.0123,2026-07-02,7.1,5.5,3.4,65.0,330.0,1.02
SMP-119,AG-Coast-4,Coastal Basin,34.2100,-118.0921,2026-07-05,6.3,3.6,1.9,35.0,180.0,1.24
SMP-120,AG-West-4,Western Plateau,38.4981,-105.3100,2026-07-08,7.4,1.1,0.5,11.0,80.0,1.55
SMP-121,AG-North-6,North Plains,45.2810,-93.4910,2026-07-09,5.5,2.6,1.2,20.0,125.0,1.33
SMP-122,AG-North-7,North Plains,45.2100,-93.5900,2026-07-10,6.2,3.5,1.9,30.0,170.0,1.22
SMP-123,AG-South-5,River Valley,36.1400,-89.1500,2026-07-11,4.8,1.6,0.6,11.0,80.0,1.46
SMP-124,AG-East-4,Highlands,40.8300,-78.9000,2026-07-12,7.3,5.0,2.9,58.0,300.0,1.06
SMP-125,AG-South-6,River Valley,36.1800,-89.0800,2026-07-13,5.9,2.9,1.5,26.0,150.0,1.27
